Locality,DecimalLatitude,DecimalLongitude,place_names,last_place_name,last_place_name_feature_type,source_latitude,source_longitude
 between winscombe & fairlie,-44.13,170.843333,"[{'place_name': 'winscombe', 'feature_type': 'Locality'}]",fairlie,Locality,-44.097582,170.8289409
 broken river basin.,-43.179395,171.646785,"[{'place_name': 'broken river', 'feature_type': 'Stream'}]",broken river,Stream,-43.1904096,171.8322483
 cape farewell.,-40.501244,172.683964,"[{'place_name': 'cape farewell', 'feature_type': 'Point'}]",cape farewell,Point,-40.4988946,172.6952119
" castle hill, broken river basin,",-43.224504,171.725213,"[{'place_name': 'castle hill', 'feature_type': 'Hill'}]",broken river,Stream,-43.1904096,171.8322483
" castle rock. old man range,",-45.324695,169.202454,"[{'place_name': 'castle rock', 'feature_type': 'Hill'}]",old man range,Range,-43.9897656,170.34826874529875
" chatham is, glory bay, pitt is.",-44.316,-176.2,"[{'place_name': 'glory bay', 'feature_type': 'Bay'}]",glory bay,Bay,-44.3170104,-176.200567
 chatham island.  beside stream up from       to owenga,-44.043333,-176.363333,"[{'place_name': 'chatham island', 'feature_type': 'Island'}]",owenga,Locality,-44.0247297,-176.359902
 chatham island.  towards lagoon outlet,-43.953333,-176.423333,"[{'place_name': 'chatham island', 'feature_type': 'Island'}]",chatham island,Island,-44.0244671,-176.5337332
" chatham island.  waikato point, lagoon",-43.838333,-176.508333,"[{'place_name': 'chatham island', 'feature_type': 'Island'}]",waikato point,Point,-43.8402787,-176.5026959
" chatham islands, rekohu (chatham i.), tuanui farm, maunganui bluff, above stone cottage",-43.75,-176.766666,"[{'place_name': 'chatham islands', 'feature_type': 'Island'}]",maunganui bluff,Cliff,-35.7538854,173.5539177
 christchurch,-42.1578,171.97034,"[{'place_name': 'christchurch', 'feature_type': 'City'}]",christchurch,City,-43.530955,172.6366455
" clay cliff, howick, waitemata hb. [harbour]",-36.937128,174.884338,"[{'place_name': 'howick', 'feature_type': 'Suburb'}]",howick,Suburb,-36.92380915,174.89941610095153
" cropp river, summit of sentinel.",-43.05318,170.968187,"[{'place_name': 'cropp river', 'feature_type': 'Stream'}, {'place_name': 'summit', 'feature_type': 'Locality'}]",sentinel,Hill,-29.2788443,-177.891496
" danseys pass, hilltop near trig y",-44.939953,170.366062,"[{'place_name': 'danseys pass', 'feature_type': 'Locality'}]",hilltop,Locality,-43.748172,172.8669313
" deep stream, west of dunedin, tributary of taieri r.",-45.943599,170.164487,"[{'place_name': 'deep stream', 'feature_type': 'Stream'}]",dunedin,City,-45.8740984,170.5035755
" dusky sound, fiordland",-45.764,166.792,"[{'place_name': 'dusky sound', 'feature_type': 'Bay'}]",dusky sound,Bay,-45.7346227,166.7457542543121
" eastern wairarapa, near taipo minor.",-41.218987,175.755427,"[{'place_name': 'taipo', 'feature_type': 'Hill'}]",taipo,Hill,-45.1674465,170.8797987
" fiery peak, four peaks ra, ",-43.974314,171.024912,"[{'place_name': 'fiery peak', 'feature_type': 'Hill'}]",four peaks,Locality,-44.0323167,171.1187365
" fiordland, below irene saddle.",-45.224793,167.266248,"[{'place_name': 'saddle', 'feature_type': 'Hill'}]",saddle,Hill,-40.439883,176.106173
" fletcher creek biological reserve.  ridge above and northwest of mcmahon creek,",-41.987,171.765,"[{'place_name': 'fletcher creek', 'feature_type': 'Stream'}]",mcmahon creek,Stream,-42.0003882,171.7750401
" fog [foggy] peak, mt torlesse",-43.288525,171.742957,"[{'place_name': 'peak', 'feature_type': 'Hill'}]",peak,Hill,-40.854352,175.830877
 french pass.,-40.933582,173.83137,"[{'place_name': 'french pass', 'feature_type': 'Locality'}]",french pass,Locality,-40.9212427,173.8378665
" garibaldi ridge, nw nelson",-41.237082,172.427239,"[{'place_name': 'garibaldi ridge', 'feature_type': 'Ridge'}]",nelson,City,-41.2710849,173.2836756
" garibaldi ridge, nw nelson",-41.224689,172.432516,"[{'place_name': 'garibaldi ridge', 'feature_type': 'Ridge'}]",nelson,City,-41.2710849,173.2836756
" garibaldi ridge, nw nelson",-41.233009,172.421728,"[{'place_name': 'garibaldi ridge', 'feature_type': 'Ridge'}]",nelson,City,-41.2710849,173.2836756
" gouland downs, nw nelson",-40.933139,172.336122,"[{'place_name': 'gouland downs', 'feature_type': 'Flat'}]",nelson,City,-41.2710849,173.2836756
" haul-ashore cove, doubtful sound",-45.432257,166.91242,"[{'place_name': 'doubtful sound', 'feature_type': 'Bay'}]",doubtful sound,Bay,-45.3738793,167.0865205429978
" head of cobb v., nw nelson",-41.055332,172.500822,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,-41.2710849,173.2836756
" head of cobb v., nw nelson",-41.050976,172.527946,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,-41.2710849,173.2836756
" head of cobb v., nw nelson",-41.059208,172.528074,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,-41.2710849,173.2836756
" hinemaiaia v., kaimanawa mts.",-38.914684,176.027327,"[{'place_name': 'kaimanawa', 'feature_type': 'Hill'}]",kaimanawa,Hill,-38.5854719,176.2358105
" hoary head, nw nelson",-41.143519,172.797641,"[{'place_name': 'hoary head', 'feature_type': 'Hill'}]",nelson,City,-41.2710849,173.2836756
" hobson's bay, auckland city,",-36.858512,174.801178,"[{'place_name': 'auckland city', 'feature_type': 'Local Authority'}]",auckland city,Local Authority,-36.8430673,174.7691893
" hurunui river, near ethelton.",-42.881364,173.061091,"[{'place_name': 'hurunui river', 'feature_type': 'Stream'}]",hurunui river,Stream,-42.8181446,172.6109052
 island bay.,-41.346289,174.771126,"[{'place_name': 'island bay', 'feature_type': 'Bay'}]",island bay,Bay,-41.3323139,174.7716525
 island bay.,-41.35,174.77,"[{'place_name': 'island bay', 'feature_type': 'Bay'}]",island bay,Bay,-41.3323139,174.7716525
 junction of lyall [creek] and buller river,-41.805888,172.037364,"[{'place_name': 'buller river', 'feature_type': 'Stream'}]",buller river,Stream,-41.780162,172.188707
" kaimanawa mountains, moawhango river, near mt azim gorge.",-39.350756,175.877573,"[{'place_name': 'kaimanawa mountains', 'feature_type': 'Range'}]",moawhango river,Stream,-39.609169,175.8876859
" kaitake ra., egmont national park",-39.221438,173.925914,"[{'place_name': 'egmont national park', 'feature_type': 'National Park'}]",egmont national park,National Park,-39.25910665,174.07075633189316
" kaituna v, wakamarama ra., nw nelson",-40.70908,172.549724,"[{'place_name': 'kaituna', 'feature_type': 'Locality'}]",nelson,City,-41.2710849,173.2836756
" kapiti coast,    maungakotukutuku stream",-40.988326,175.004704,"[{'place_name': 'kapiti', 'feature_type': 'Locality'}]",kapiti,Locality,-46.0680144,170.0201251
" karori park, wellington,",-41.284956,174.725192,"[{'place_name': 'karori', 'feature_type': 'Suburb'}]",wellington,City,-41.2887953,174.7772114
" kauaeranga river, thames",-37.15,175.583,"[{'place_name': 'kauaeranga river', 'feature_type': 'Stream'}]",thames,Town,-37.137983,175.5418037
" kaweka range, mt kaweka.",-39.283117,176.373514,"[{'place_name': 'kaweka range', 'feature_type': 'Range'}]",kaweka,Hill,-38.656333,176.908556
" lake mcrae, clarence valle",-42.18774,173.326874,"[{'place_name': 'lake mcrae', 'feature_type': 'Lake'}]",clarence,Locality,-42.1560429,173.9269144
" lake pukaki, south canterbury, boltons gully, tasman downs",-44.035406,170.192359,"[{'place_name': 'lake pukaki', 'feature_type': 'Lake'}, {'place_name': 'boltons gully', 'feature_type': 'Valley'}]",tasman,Locality,-41.30222105,172.89453190955697
" lake rotokawau, karikari peninsula, north auckland",-34.866955,173.307306,"[{'place_name': 'lake rotokawau', 'feature_type': 'Lake'}, {'place_name': 'karikari peninsula', 'feature_type': 'Peninsula'}]",auckland,Local Authority,-36.852095,174.7631803
" lake sylvester , cobb valley",-41.101725,172.617611,"[{'place_name': 'lake sylvester', 'feature_type': 'Lake'}]",lake sylvester,Lake,-41.10658155,172.6287575654975
" lake sylvester , cobb valley",-41.1017,172.618,"[{'place_name': 'lake sylvester', 'feature_type': 'Lake'}]",lake sylvester,Lake,-41.10658155,172.6287575654975
" lake sylvester, cobb valley,",-41.111856,172.621429,"[{'place_name': 'lake sylvester', 'feature_type': 'Lake'}]",lake sylvester,Lake,-41.10658155,172.6287575654975
 lake sylvester.,-41.107083,172.631088,"[{'place_name': 'lake sylvester', 'feature_type': 'Lake'}]",lake sylvester,Lake,-41.10658155,172.6287575654975
" lake te anau, north arm, ",-45.001774,167.695097,"[{'place_name': 'lake te anau', 'feature_type': 'Lake'}]",north arm,Bay,-46.88096525,168.00798135258384
 lake tennyson.,-42.214041,172.718229,"[{'place_name': 'lake tennyson', 'feature_type': 'Lake'}]",lake tennyson,Lake,-42.199040600000004,172.72790851692218
" lawrence river, lawrence biv.",-43.350368,170.921259,"[{'place_name': 'lawrence river', 'feature_type': 'Stream'}]",lawrence,Locality,-45.9129312,169.6870009
" lincoln township, canterbury",-43.645288,172.479293,"[{'place_name': 'lincoln', 'feature_type': 'Town'}]",lincoln,Town,-43.6396099,172.4860237
" little barrier island, summit track.",-36.204631,175.073481,"[{'place_name': 'summit', 'feature_type': 'Locality'}]",summit,Locality,-40.4609278,176.1211144
" little barrier, te maraeroa",-36.218,175.055,"[{'place_name': 'maraeroa', 'feature_type': 'Locality'}]",maraeroa,Locality,-45.3365127,168.140846
" long bay, auckland, eastcoast",-36.683,174.633,"[{'place_name': 'long bay', 'feature_type': 'Bay'}]",auckland,Local Authority,-36.852095,174.7631803
" malte brun, mt cook national park",-43.560137,170.276374,"[{'place_name': 'national park', 'feature_type': 'Village'}]",national park,Village,-39.1727294,175.4037274
" malte brun, mt cook national park",-43.6356,170.226,"[{'place_name': 'national park', 'feature_type': 'Village'}]",national park,Village,-39.1727294,175.4037274
" malte brun, mt cook national park,",-43.555632,170.277943,"[{'place_name': 'national park', 'feature_type': 'Village'}]",national park,Village,-39.1727294,175.4037274
" mamaku plateau, puwhenua state forest 28,",-37.95208,176.09927,"[{'place_name': 'mamaku plateau', 'feature_type': 'Plateau'}]",puwhenua,Hill,-37.9269275,176.1176129
" mangatoro river,  ese of dannevirke,",-40.272601,176.209728,"[{'place_name': 'mangatoro river', 'feature_type': 'Stream'}]",dannevirke,Town,-40.2073897,176.0982442
 manukau.,-37.010713,174.861335,"[{'place_name': 'manukau', 'feature_type': 'City'}]",manukau,City,-37.086474300000006,174.7288539724189
" marsden point, whangarei",-35.863227,174.487811,"[{'place_name': 'marsden point', 'feature_type': 'Locality'}]",marsden point,Locality,-35.847474,174.4881785
 massey university,-40.383333,175.616666,"[{'place_name': 'massey', 'feature_type': 'Suburb'}]",massey,Suburb,-36.8402845,174.6115457
" mikonui river, dickie spur",-43.054779,170.858857,"[{'place_name': 'mikonui river', 'feature_type': 'Stream'}]",dickie spur,Ridge,-43.0587325,170.86976037404372
" mikonui river, lower tuke river",-43.037958,170.874175,"[{'place_name': 'mikonui river', 'feature_type': 'Stream'}]",tuke river,Stream,-43.0546189,170.880312
" mikonui river, upper tuke river.",-43.084192,170.890995,"[{'place_name': 'mikonui river', 'feature_type': 'Stream'}]",tuke river,Stream,-43.0546189,170.880312
" mikonui river, upper tuke river.",-43.089659,170.894493,"[{'place_name': 'mikonui river', 'feature_type': 'Stream'}]",tuke river,Stream,-43.0546189,170.880312
" mirimar peninsula, branda pass.",-41.329118,174.832794,"[{'place_name': 'peninsula', 'feature_type': 'Hill'}]",peninsula,Hill,-42.025389,173.853583
" mirimar peninsula, kau bay.",-41.288588,174.83286,"[{'place_name': 'peninsula', 'feature_type': 'Hill'}]",kau bay,Bay,-41.2869298,174.8311426
" mirimar peninsula, worser bay.",-41.317453,174.83008,"[{'place_name': 'peninsula', 'feature_type': 'Hill'}]",worser bay,Bay,-41.31519865,174.8288125891455
 moa point.,-41.343898,174.809304,"[{'place_name': 'moa point', 'feature_type': 'Point'}]",moa point,Point,-41.3408106,174.8119953
" mohaka r, near raupanga.",-39.069403,177.11672,"[{'place_name': 'mohaka', 'feature_type': 'Locality'}]",mohaka,Locality,-39.130111,177.147972
" motukarikitahi, coromandel islands, hauraki gulf",-36.764734,175.448547,"[{'place_name': 'coromandel', 'feature_type': 'Locality'}]",hauraki gulf,Bay,-36.7060245,175.09158324002095
" mt ""apu"". doubtful sound",-45.371,167.038,"[{'place_name': 'doubtful sound', 'feature_type': 'Bay'}]",doubtful sound,Bay,-45.3738793,167.0865205429978
" mt dennan, tararua range",-40.92504,175.261346,"[{'place_name': 'dennan', 'feature_type': 'Trig Station'}]",tararua range,Range,-40.6271223,175.4567197
" mt george, fiordland: basin with long lake draining into oonah burn ne of peak.",-45.457533,167.230215,"[{'place_name': 'oonah burn', 'feature_type': 'Stream'}]",peak,Hill,-40.854352,175.830877
 mt hamilton.,-45.61986,168.010607,"[{'place_name': 'hamilton', 'feature_type': 'City'}]",hamilton,City,-37.7878809,175.281788
" mt holdsworth, tararua mts",-40.912139,175.374601,"[{'place_name': 'tararua', 'feature_type': 'Hill'}]",tararua,Hill,-40.3891365,176.07742939116034
" mt holdsworth, tararua ra",-40.873,175.417,"[{'place_name': 'tararua', 'feature_type': 'Hill'}]",tararua,Hill,-40.3891365,176.07742939116034
" mt holdsworth, tararua ra",-40.912139,175.374601,"[{'place_name': 'tararua', 'feature_type': 'Hill'}]",tararua,Hill,-40.3891365,176.07742939116034
" mt holdsworth, tararua ra",-40.87998,175.42966,"[{'place_name': 'tararua', 'feature_type': 'Hill'}]",tararua,Hill,-40.3891365,176.07742939116034
" mt holdsworth, tararua range,",-40.912139,175.374601,"[{'place_name': 'tararua range', 'feature_type': 'Range'}]",tararua range,Range,-40.6271223,175.4567197
" mt holdsworth, tararua range, ca. 12 mls north west of masterton, wairarapa co., north island",-40.88415,175.421081,"[{'place_name': 'tararua range', 'feature_type': 'Range'}, {'place_name': 'masterton', 'feature_type': 'Town'}]",north island,Island,-46.81661455,168.23912089628956
 mt kakaramea.,-38.985802,175.68916,"[{'place_name': 'kakaramea', 'feature_type': 'Locality'}]",kakaramea,Locality,-38.9757716,175.695559
" mt sebastopol, canterbury",-43.75924,170.092132,"[{'place_name': 'sebastopol', 'feature_type': 'Hill'}]",sebastopol,Hill,-43.0442081,171.3263513
" mt sebastopol, canterbury,",-43.75924,170.092132,"[{'place_name': 'sebastopol', 'feature_type': 'Hill'}]",sebastopol,Hill,-43.0442081,171.3263513
" mt zetland, nelson",-41.394629,172.276405,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,-41.2710849,173.2836756
 near east cape.,-37.741923,178.447016,"[{'place_name': 'east cape', 'feature_type': 'Cape'}]",east cape,Cape,-38.1532287,178.1367523749267
 near lake gunn.,-44.892294,168.072918,"[{'place_name': 'lake gunn', 'feature_type': 'Lake'}]",lake gunn,Lake,-44.888420800000006,168.07846535222967
" near mount azim gorge, moawhango river, kaimanawa mountains",-39.351778,175.882079,"[{'place_name': 'mount azim gorge', 'feature_type': 'Valley'}, {'place_name': 'moawhango river', 'feature_type': 'Stream'}]",kaimanawa mountains,Range,-39.1426547,175.9746851
" near mt arowhana, raukumara range,",-38.109389,177.871967,"[{'place_name': 'arowhana', 'feature_type': 'Hill'}]",arowhana,Hill,-38.1091339,177.8629034
" near neaseville track, coromandel range, coromandel peninsula",-37.185475,175.691868,"[{'place_name': 'coromandel range', 'feature_type': 'Range'}]",coromandel peninsula,Peninsula,-36.98115945,175.67852372174352
" near top of waterfall south east of head of lake shirley, fiordland",-45.076,167.257,"[{'place_name': 'shirley', 'feature_type': 'Suburb'}]",shirley,Suburb,-43.499562,172.6611226
" near waipahihi, kaimanawa mts",-39.277815,175.828692,"[{'place_name': 'waipahihi', 'feature_type': 'Suburb'}]",kaimanawa,Hill,-38.5854719,176.2358105
" near whales back station, mason river, south marlborough",-42.504705,173.168841,"[{'place_name': 'whales back', 'feature_type': 'Ridge'}, {'place_name': 'mason river', 'feature_type': 'Stream'}]",marlborough,Suburb,-41.47447475,173.8330262577606
" nelson area, dun mtn, 'third house",-41.316111,173.316111,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,-41.2710849,173.2836756
" nelson lakes national park, head of east sabine river",-42.097744,172.709882,"[{'place_name': 'nelson lakes national park', 'feature_type': 'National Park'}]",sabine river,Stream,-41.9477875,172.6987733
" nelson lakes national park, rotoiti lodge",-41.801333,172.836278,"[{'place_name': 'nelson lakes national park', 'feature_type': 'National Park'}]",rotoiti,Locality,-38.0542828,176.4760735
" nelson lakes national park, st arnaud, picnic/camping area on lake shore at kerr bay, about 100 m towards doc headquarters from black stream bridge",-41.805401,172.844831,"[{'place_name': 'nelson lakes national park', 'feature_type': 'National Park'}, {'place_name': 'kerr bay', 'feature_type': 'Bay'}]",black stream,Stream,-41.1358894,175.0776149
" northeast of mouth of green hills stream, southwest of cape farewell. west whanganui ecological district.",-40.507169,172.654449,"[{'place_name': 'green hills stream', 'feature_type': 'Stream'}, {'place_name': 'cape farewell', 'feature_type': 'Point'}]",whanganui,City,-39.9324904,175.0519306
" nr sandhills ck., nw nelson",-40.673894,172.396968,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,-41.2710849,173.2836756
" nr. summit, oneho hill, aorangi is, poor knights [island group]",-35.489617,174.73315,"[{'place_name': 'summit', 'feature_type': 'Locality'}, {'place_name': 'oneho hill', 'feature_type': 'Hill'}]",aorangi,Hill,-39.616389,176.080639
 onehunga,-36.916,174.783,"[{'place_name': 'onehunga', 'feature_type': 'Suburb'}]",onehunga,Suburb,-36.9237924,174.7857738
" orig. mt hikurangi, raukumara ra.",-37.916398,178.047944,"[{'place_name': 'hikurangi', 'feature_type': 'Trig Station'}]",hikurangi,Trig Station,-35.6680524,174.0369343
" panikiri cliffs, lake waikaremoana, south east auckd.",-38.791418,177.075576,"[{'place_name': 'lake waikaremoana', 'feature_type': 'Lake'}]",lake waikaremoana,Lake,-38.76191455,177.1020771935485
" paparoa coast, fox river.",-42.038059,171.392489,"[{'place_name': 'paparoa', 'feature_type': 'Locality'}]",fox river,Stream,-43.5007252,170.056968
" paringa river, 1km above bridge",-43.71344,169.490896,"[{'place_name': 'paringa river', 'feature_type': 'Stream'}]",paringa river,Stream,-43.7269235,169.4939292
" peel forest park, allans track, near deer spur",-43.89516,171.23267,"[{'place_name': 'peel forest', 'feature_type': 'Locality'}]",deer spur,Ridge,-43.895111,171.240053
 pelorus river mouth ,-41.271264,173.720844,"[{'place_name': 'pelorus river', 'feature_type': 'Stream'}]",pelorus river,Stream,-41.2807683,173.7128477
" porirua, hongoeka bay.",-41.065973,174.842164,"[{'place_name': 'porirua', 'feature_type': 'City'}]",hongoeka bay,Bay,-41.0684529,174.8481604
" port hills, christchurch,",-43.591,172.713,"[{'place_name': 'christchurch', 'feature_type': 'City'}]",christchurch,City,-43.530955,172.6366455
 princess bay.,-41.34245,174.786558,"[{'place_name': 'princess bay', 'feature_type': 'Bay'}]",princess bay,Bay,-41.3449519,174.7878579
" queenstown, ben lomand.",-45.004178,168.3811,"[{'place_name': 'queenstown', 'feature_type': 'Town'}]",queenstown,Town,-45.0321923,168.661
" rangitikei r.,  north west ruahine ra.",-39.491202,176.031652,"[{'place_name': 'ruahine', 'feature_type': 'Locality'}]",ruahine,Locality,-36.332871,175.518432
" riccarton,  riccarton road",-43.528774,172.603993,"[{'place_name': 'riccarton', 'feature_type': 'Suburb'}]",riccarton,Suburb,-43.5299309,172.598559
" riccarton, christchurch.",-43.537731,172.591563,"[{'place_name': 'riccarton', 'feature_type': 'Suburb'}]",christchurch,City,-43.530955,172.6366455
" ross, mikonui river, mikonui spur.",-43.026131,170.916312,"[{'place_name': 'ross', 'feature_type': 'Locality'}, {'place_name': 'mikonui river', 'feature_type': 'Stream'}]",mikonui spur,Ridge,-43.023413399999995,170.87479065426209
" ross, mikonui river, mikonui spur.",-43.029388,170.946884,"[{'place_name': 'ross', 'feature_type': 'Locality'}, {'place_name': 'mikonui river', 'feature_type': 'Stream'}]",mikonui spur,Ridge,-43.023413399999995,170.87479065426209
" ruahine mountains, hikurangi range.",-39.815316,176.037384,"[{'place_name': 'ruahine', 'feature_type': 'Hill'}]",hikurangi range,Range,-39.8091547,176.0877716
" ruahine mountains, waipawa river.",-39.812172,176.154113,"[{'place_name': 'ruahine', 'feature_type': 'Hill'}]",waipawa river,Stream,-39.8919781,176.4754283
" ruby bay, nelson",-41.214,173.081,"[{'place_name': 'ruby bay', 'feature_type': 'Bay'}]",nelson,City,-41.2710849,173.2836756
" ruby bay, nelson",-41.23655,173.080191,"[{'place_name': 'ruby bay', 'feature_type': 'Bay'}]",nelson,City,-41.2710849,173.2836756
 south east stewart island.  kaimohu island:  muttonbird is,-47.20838,167.445286,"[{'place_name': 'stewart island', 'feature_type': 'Island'}]",kaimohu island,Island,-47.2029791,167.4532193
" saddle between bannister and dundas ridge, tararua ra.",-40.745,175.445,"[{'place_name': 'saddle', 'feature_type': 'Hill'}, {'place_name': 'bannister', 'feature_type': 'Hill'}, {'place_name': 'dundas ridge', 'feature_type': 'Ridge'}]",tararua,Hill,-40.3891365,176.07742939116034
" sewell peak track, north of lake brunner, westland",-42.409982,171.335523,"[{'place_name': 'sewell peak', 'feature_type': 'Hill'}]",brunner,Locality,-42.4325318,171.3237247
" springston, christchurch.",-43.653929,172.404841,"[{'place_name': 'springston', 'feature_type': 'Locality'}]",christchurch,City,-43.530955,172.6366455
" taipa, shore of doubtless bay, mangonui co.",-35.081062,173.319648,"[{'place_name': 'taipa', 'feature_type': 'Locality'}]",doubtless bay,Bay,-34.92123785,173.4644165128483
 taylors mistake,-43.566,172.766,"[{'place_name': 'taylors mistake', 'feature_type': 'Bay'}]",taylors mistake,Bay,-43.5819873,172.7793067
" te kohai island, lake pukaki",-44.16059,170.139774,"[{'place_name': 'lake pukaki', 'feature_type': 'Lake'}]",lake pukaki,Lake,-44.04776085,170.17423114315488
" the zoo, foot of chalk ra, marlborough",-41.915007,173.924873,"[{'place_name': 'the zoo', 'feature_type': 'Area'}]",marlborough,Suburb,-41.47447475,173.8330262577606
 titahi bay.,-41.107632,174.827843,"[{'place_name': 'titahi bay', 'feature_type': 'Suburb'}]",titahi bay,Suburb,-41.1086925,174.8374978
" titirangi bay, marlborough sounds,",-41.021411,174.130933,"[{'place_name': 'titirangi bay', 'feature_type': 'Bay'}]",marlborough,Suburb,-41.47447475,173.8330262577606
" twizel catchment, near lake pukaki, south canterbury,",-43.990125,170.182007,"[{'place_name': 'twizel', 'feature_type': 'Town'}]",lake pukaki,Lake,-44.04776085,170.17423114315488
" upper moawhango river, kaimanawa mountains,",-39.335235,175.903201,"[{'place_name': 'moawhango river', 'feature_type': 'Stream'}]",kaimanawa mountains,Range,-39.1426547,175.9746851
" upper swing bridge, hooker valley",-43.709875,170.093288,"[{'place_name': 'hooker', 'feature_type': 'Hill'}]",hooker,Hill,-50.5463933,166.1457056
 waikuku,-43.304019,172.691727,"[{'place_name': 'waikuku', 'feature_type': 'Locality'}]",waikuku,Locality,-40.4815925,175.9546727
 waikuku,-43.2995,172.686,"[{'place_name': 'waikuku', 'feature_type': 'Locality'}]",waikuku,Locality,-40.4815925,175.9546727
 waikuku,-43.295015,172.684161,"[{'place_name': 'waikuku', 'feature_type': 'Locality'}]",waikuku,Locality,-40.4815925,175.9546727
" waimairi co., rubbish tip, off johns rd., christchurch.",-43.474636,172.567266,"[{'place_name': 'christchurch', 'feature_type': 'City'}]",christchurch,City,-43.530955,172.6366455
" wainui, opotiki district",-38.015589,177.082887,"[{'place_name': 'wainui', 'feature_type': 'Locality'}]",opotiki district,Local Authority,-38.03550715,177.3951924921194
" waioeka gorge,  opotiki district",-38.288,177.377,"[{'place_name': 'waioeka', 'feature_type': 'Locality'}]",opotiki district,Local Authority,-38.03550715,177.3951924921194
" waipunga r., ahimanawa ra.",-38.989819,176.532564,"[{'place_name': 'ahimanawa', 'feature_type': 'Hill'}]",ahimanawa,Hill,-38.8845,177.847417
" wandle river, near ""terako downs"" run, inland kaikoura road",-42.530029,173.124999,"[{'place_name': 'wandle river', 'feature_type': 'Stream'}]",wandle river,Stream,-42.5335659,173.1144018
